geography,metric,week_num,race_var,mean,se,moe_95,moe_95_lb,moe_95_ub,geo_type,sigdiff
IA,uninsured,wk1_2,black,0.172620492,0.103181957,0.202236636,-0.029616143,0.374857128,state,0
IA,uninsured,wk1_2,hispanic,0.165219199,0.091079625,0.178516064,-0.013296865,0.343735264,state,0
IA,uninsured,wk1_2,other,0.131922033,0.095055065,0.186307927,-0.054385894,0.318229961,state,0
IA,uninsured,wk1_2,white,0.044705005,0.010532875,0.020644435,0.02406057,0.06534944,state,0
ID,uninsured,wk1_2,asian,0.216597262,0.122046516,0.239211171,-0.022613909,0.455808432,state,0
ID,uninsured,wk1_2,black,0,0,0,0,0,state,1
ID,uninsured,wk1_2,hispanic,0.135194332,0.047749403,0.09358883,0.041605502,0.228783162,state,0
ID,uninsured,wk1_2,other,0.095963129,0.043619649,0.085494512,0.010468617,0.181457641,state,0
ID,uninsured,wk1_2,white,0.129262322,0.018583395,0.036423454,0.092838868,0.165685775,state,0
IL,uninsured,wk1_2,asian,0.076465346,0.038856874,0.076159473,3.06E-04,0.152624819,state,0
IL,uninsured,wk1_2,black,0.158465494,0.039003939,0.07644772,0.082017775,0.234913214,state,0
IL,uninsured,wk1_2,hispanic,0.269766247,0.069939407,0.137081237,0.13268501,0.406847484,state,0
IL,uninsured,wk1_2,other,0.352493382,0.183085763,0.358848096,-0.006354714,0.711341478,state,0
IL,uninsured,wk1_2,white,0.092910932,0.020838299,0.040843066,0.052067866,0.133753997,state,0
IN,uninsured,wk1_2,asian,0.044280835,0.05245367,0.102809194,-0.058528359,0.14709003,state,0
IN,uninsured,wk1_2,black,0.129580084,0.043840546,0.085927469,0.043652614,0.215507553,state,0
IN,uninsured,wk1_2,hispanic,0.123903431,0.061407714,0.120359119,0.003544312,0.24426255,state,0
IN,uninsured,wk1_2,other,0.025862908,0.018697774,0.036647638,-0.01078473,0.062510546,state,1
IN,uninsured,wk1_2,white,0.110203479,0.016269128,0.03188749,0.078315989,0.142090969,state,0
KS,uninsured,wk1_2,asian,0.331150861,0.190361391,0.373108327,-0.041957465,0.704259188,state,0
KS,uninsured,wk1_2,black,0.184135951,0.077901799,0.152687525,0.031448426,0.336823477,state,0
KS,uninsured,wk1_2,hispanic,0.41087271,0.078392698,0.153649688,0.257223022,0.564522399,state,1
KS,uninsured,wk1_2,other,0.097872707,0.057696509,0.113085158,-0.015212451,0.210957865,state,0
KS,uninsured,wk1_2,white,0.14267207,0.025647974,0.05027003,0.09240204,0.1929421,state,0
KY,uninsured,wk1_2,asian,0.186485595,0.131151651,0.257057235,-0.070571641,0.44354283,state,0
KY,uninsured,wk1_2,black,0.125984335,0.074163209,0.145359889,-0.019375555,0.271344224,state,0
KY,uninsured,wk1_2,hispanic,0.203810985,0.090378427,0.177141716,0.026669269,0.380952701,state,0
KY,uninsured,wk1_2,other,0.045626713,0.043363554,0.084992565,-0.039365852,0.130619278,state,0
KY,uninsured,wk1_2,white,0.065296422,0.012228563,0.023967983,0.041328439,0.089264404,state,0
LA,uninsured,wk1_2,asian,0.127104253,0.111657016,0.218847751,-0.091743498,0.345952003,state,0
LA,uninsured,wk1_2,black,0.107169101,0.029800799,0.058409565,0.048759536,0.165578667,state,0
LA,uninsured,wk1_2,hispanic,0.129374368,0.069274475,0.135777971,-0.006403603,0.265152338,state,0
LA,uninsured,wk1_2,other,0,0,0,0,0,state,1
LA,uninsured,wk1_2,white,0.125933942,0.030305022,0.059397843,0.066536099,0.185331785,state,0
MA,uninsured,wk1_2,asian,0.050974697,0.032522849,0.063744785,-0.012770088,0.114719482,state,0
MA,uninsured,wk1_2,black,0.142436723,0.048500235,0.09506046,0.047376263,0.237497184,state,0
MA,uninsured,wk1_2,hispanic,0.063703924,0.021911018,0.042945595,0.020758329,0.106649519,state,0
MA,uninsured,wk1_2,other,0.139971994,0.083471601,0.163604338,-0.023632344,0.303576332,state,0
MA,uninsured,wk1_2,white,0.068064783,0.022255784,0.043621337,0.024443446,0.11168612,state,0
MD,uninsured,wk1_2,asian,0.012162132,0.011480538,0.022501854,-0.010339721,0.034663986,state,1
MD,uninsured,wk1_2,black,0.17242,0.058023664,0.113726382,0.058693618,0.286146382,state,0
MD,uninsured,wk1_2,hispanic,0.065058193,0.034089755,0.06681592,-0.001757727,0.131874113,state,0
MD,uninsured,wk1_2,other,0.055803784,0.03645364,0.071449134,-0.01564535,0.127252918,state,0
MD,uninsured,wk1_2,white,0.032233511,0.008518434,0.016696131,0.01553738,0.048929642,state,1
ME,uninsured,wk1_2,asian,0,0,0,0,0,state,1
ME,uninsured,wk1_2,black,0.380718363,0.254834955,0.499476512,-0.118758149,0.880194875,state,0
ME,uninsured,wk1_2,hispanic,0.066247677,0.066253369,0.129856603,-0.063608926,0.19610428,state,0
ME,uninsured,wk1_2,other,0.144162236,0.092128236,0.180571342,-0.036409106,0.324733578,state,0
ME,uninsured,wk1_2,white,0.120475052,0.020622653,0.0404204,0.080054652,0.160895452,state,0
MI,uninsured,wk1_2,asian,0.152606565,0.110380419,0.21634562,-0.063739056,0.368952185,state,0
MI,uninsured,wk1_2,black,0.070160949,0.027568105,0.054033485,0.016127464,0.124194434,state,0
MI,uninsured,wk1_2,hispanic,0.202303739,0.095435094,0.187052784,0.015250955,0.389356523,state,0
MI,uninsured,wk1_2,other,0.149057779,0.075881005,0.148726771,3.31E-04,0.297784549,state,0
MI,uninsured,wk1_2,white,0.080661477,0.011999347,0.023518719,0.057142757,0.104180196,state,0
MN,uninsured,wk1_2,asian,0.049633731,0.030561156,0.059899867,-0.010266136,0.109533597,state,0
MN,uninsured,wk1_2,black,0.053174669,0.032815263,0.064317915,-0.011143246,0.117492584,state,0
MN,uninsured,wk1_2,hispanic,0.061577523,0.03694549,0.072413159,-0.010835636,0.133990683,state,0
MN,uninsured,wk1_2,other,0.129954047,0.117505117,0.23031003,-0.100355983,0.360264076,state,0
MN,uninsured,wk1_2,white,0.0602366,0.010267774,0.020124837,0.040111763,0.080361437,state,0
MO,uninsured,wk1_2,asian,0.130280622,0.084459256,0.165540142,-0.03525952,0.295820763,state,0
MO,uninsured,wk1_2,black,0.14762316,0.059730627,0.11707203,0.030551131,0.26469519,state,0
MO,uninsured,wk1_2,hispanic,0.358771242,0.176362774,0.345671037,0.013100205,0.704442279,state,0
MO,uninsured,wk1_2,other,0.198230594,0.098111121,0.192297796,0.005932797,0.39052839,state,0
MO,uninsured,wk1_2,white,0.19700265,0.025208179,0.049408032,0.147594618,0.246410681,state,0
MS,uninsured,wk1_2,asian,0.376691475,0.201313908,0.39457526,-0.017883786,0.771266735,state,0
MS,uninsured,wk1_2,black,0.249587091,0.054546142,0.106910438,0.142676654,0.356497529,state,0
MS,uninsured,wk1_2,hispanic,0.097989074,0.04545107,0.089084097,0.008904977,0.187073171,state,1
MS,uninsured,wk1_2,other,0.137962122,0.085473267,0.167527603,-0.029565482,0.305489725,state,0
MS,uninsured,wk1_2,white,0.176882095,0.036007674,0.070575042,0.106307053,0.247457137,state,0
MT,uninsured,wk1_2,asian,0.086864663,0.10314427,0.202162769,-0.115298106,0.289027432,state,0
MT,uninsured,wk1_2,black,0,0,0,0,0,state,1
MT,uninsured,wk1_2,hispanic,0.032150447,0.021448962,0.042039966,-0.009889519,0.074190413,state,1
MT,uninsured,wk1_2,other,0.122505181,0.047417912,0.092939107,0.029566074,0.215444288,state,0
MT,uninsured,wk1_2,white,0.08318584,0.015874698,0.031114408,0.052071432,0.114300249,state,0
NC,uninsured,wk1_2,asian,0.06391256,0.058214755,0.114100921,-0.050188361,0.17801348,state,0
NC,uninsured,wk1_2,black,0.109627384,0.025632615,0.050239926,0.059387457,0.15986731,state,0
NC,uninsured,wk1_2,hispanic,0.280768152,0.114457033,0.224335785,0.056432367,0.505103937,state,0
NC,uninsured,wk1_2,other,0.131130868,0.057826365,0.113339676,0.017791192,0.244470544,state,0
NC,uninsured,wk1_2,white,0.14311163,0.02119066,0.041533693,0.101577937,0.184645323,state,0
ND,uninsured,wk1_2,asian,0.164063028,0.115320397,0.226027978,-0.06196495,0.390091007,state,0
ND,uninsured,wk1_2,black,0.434855482,0.316071705,0.619500542,-0.184645059,1.054356024,state,0
ND,uninsured,wk1_2,hispanic,0.039693273,0.035258168,0.069106009,-0.029412737,0.108799282,state,0
ND,uninsured,wk1_2,other,0.233845367,0.138903209,0.27225029,-0.038404923,0.506095657,state,0
ND,uninsured,wk1_2,white,0.080979696,0.016017601,0.031394497,0.049585198,0.112374193,state,0
NE,uninsured,wk1_2,asian,0.211275104,0.130515779,0.255810927,-0.044535822,0.467086031,state,0
NE,uninsured,wk1_2,black,0.40533936,0.145816039,0.285799437,0.119539923,0.691138797,state,1
NE,uninsured,wk1_2,hispanic,0.12596099,0.045183494,0.088559648,0.037401342,0.214520639,state,0
NE,uninsured,wk1_2,other,0.263693381,0.173401682,0.339867296,-0.076173915,0.603560677,state,0
NE,uninsured,wk1_2,white,0.080560415,0.013448303,0.026358675,0.054201741,0.10691909,state,0
NH,uninsured,wk1_2,asian,0.031881353,0.028224706,0.055320423,-0.02343907,0.087201776,state,1
NH,uninsured,wk1_2,black,0,0,0,0,0,state,1
NH,uninsured,wk1_2,hispanic,0.179513735,0.093886483,0.184017507,-0.004503772,0.363531241,state,0
NH,uninsured,wk1_2,other,0.087309908,0.080892292,0.158548892,-0.071238983,0.2458588,state,0
NH,uninsured,wk1_2,white,0.117179525,0.019531794,0.038282316,0.078897209,0.155461841,state,0
NJ,uninsured,wk1_2,asian,0.08320287,0.057611942,0.112919407,-0.029716536,0.196122277,state,0
NJ,uninsured,wk1_2,black,0.060301112,0.022783591,0.044655839,0.015645274,0.104956951,state,0
NJ,uninsured,wk1_2,hispanic,0.251835849,0.059148846,0.115931738,0.135904111,0.367767587,state,1
